"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G900","2020-04-09 00:00:00","20.000","32.000","1.900","20.300","0.790","1013.600","","0.000","-99.000","-99.000","-99.000","22.800","","17.700",""
"C0S660","2020-04-09 00:00:00","794.000","0.000","0.000","15.800","0.990","930.000","","0.000","-99.000","-99.000","-99.000","20.200","","14.200",""
"C0M640","2020-04-09 00:00:00","155.000","0.000","0.000","19.400","0.940","998.400","","0.000","-99.000","-99.000","-99.000","25.700","","14.900",""
"C0R660","2020-04-09 00:00:00","20.000","0.000","0.100","22.100","0.880","1014.800","","0.000","-99.000","-99.000","-99.000","24.900","","18.700",""
"C0UA10","2020-04-09 00:00:00","1711.000","324.000","0.400","8.800","1.000","834.200","","0.500","-99.000","-99.000","-99.000","11.100","","7.900",""
"C0V770","2020-04-09 00:00:00","26.000","2.000","1.000","21.000","0.780","1013.400","","0.000","-99.000","-99.000","-99.000","27.800","","16.500",""
"C0E730","2020-04-09 00:00:00","26.000","13.000","0.300","18.600","0.790","1012.600","","0.000","-99.000","-99.000","-99.000","21.900","","16.400",""
"C0V810","2020-04-09 00:00:00","32.000","5.000","0.600","21.200","0.790","1011.800","","0.000","-99.000","-99.000","-99.000","24.000","","16.600",""
"C0A9C0","2020-04-09 00:00:00","35.000","150.000","2.100","19.700","0.800","1013.800","","0.000","-99.000","-99.000","-99.000","20.200","","16.400",""
"C0X310","2020-04-09 00:00:00","9.000","22.000","1.700","20.200","0.820","1016.300","","0.000","-99.000","-99.000","-99.000","23.100","","16.700",""
"C0K280","2020-04-09 00:00:00","23.000","33.000","0.800","18.800","0.920","1016.300","","0.000","-99.000","-99.000","-99.000","25.200","","16.300",""
"C0M650","2020-04-09 00:00:00","20.000","9.000","0.400","19.200","0.870","1014.800","","0.000","-99.000","-99.000","-99.000","24.600","","15.800",""
"C0S910","2020-04-09 00:00:00","212.000","342.000","1.000","22.000","0.990","993.900","","0.000","-99.000","-99.000","-99.000","24.100","","20.800",""
"C0D570","2020-04-09 00:00:00","15.000","0.000","0.000","17.800","0.860","1015.500","","0.000","-99.000","-99.000","-99.000","23.000","","15.900",""
"C0M710","2020-04-09 00:00:00","15.000","10.000","1.400","19.700","0.810","1015.300","","0.000","-99.000","-99.000","-99.000","23.300","","16.800",""
"C0U720","2020-04-09 00:00:00","1260.000","8.000","1.000","12.400","1.000","890.000","","0.000","-99.000","-99.000","-99.000","13.800","","10.000",""
"C0R690","2020-04-09 00:00:00","248.000","12.000","0.700","19.700","0.930","987.500","","0.500","-99.000","-99.000","-99.000","26.300","","18.400",""
"C0X150","2020-04-09 00:00:00","18.000","2.000","1.400","20.000","0.880","1016.100","","0.000","-99.000","-99.000","-99.000","26.300","","15.800",""
"C0Z050","2020-04-09 00:00:00","830.000","0.000","0.000","15.200","0.990","926.400","","0.500","-99.000","-99.000","-99.000","16.700","","13.500",""
"C0I490","2020-04-09 00:00:00","1601.000","282.000","1.000","12.300","0.990","844.100","","0.500","-99.000","-99.000","-99.000","19.500","","10.200",""
"C0I090","2020-04-09 00:00:00","910.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X240","2020-04-09 00:00:00","394.000","170.000","0.300","17.800","0.940","972.100","","0.000","-99.000","-99.000","-99.000","24.000","","14.800",""
"C0S990","2020-04-09 00:00:00","409.000","176.000","0.600","19.300","0.930","971.000","","0.000","-99.000","-99.000","-99.000","23.500","","18.100",""
"C0E850","2020-04-09 00:00:00","104.000","0.000","0.000","16.500","0.950","1004.500","","0.000","-99.000","-99.000","-99.000","20.800","","14.900",""
"C0T9B0","2020-04-09 00:00:00","558.000","273.000","1.400","16.800","0.950","954.700","","0.000","-99.000","-99.000","-99.000","19.900","","15.000",""
"C0G650","2020-04-09 00:00:00","34.000","155.000","0.300","20.100","0.980","1012.300","","0.000","-99.000","-99.000","-99.000","26.600","","15.800",""
"C0K580","2020-04-09 00:00:00","26.000","0.000","0.200","19.200","0.990","1015.000","","0.000","-99.000","-99.000","-99.000","25.200","","15.400",""
"C0X050","2020-04-09 00:00:00","25.000","0.000","0.000","19.500","0.980","1012.500","","0.000","-99.000","-99.000","-99.000","27.600","","15.100",""
"CM0100","2020-04-09 00:00:00","25.000","88.000","0.700","19.300","0.690","1014.000","","0.000","-99.000","-99.000","-99.000","21.000","","17.100",""
"C0AC70","2020-04-09 00:00:00","71.000","73.000","1.600","18.400","0.870","1009.300","","0.000","-99.000","-99.000","-99.000","19.700","","16.800",""
"CM0130","2020-04-09 00:00:00","11.000","12.000","1.400","20.800","0.750","1016.200","","0.000","-99.000","-99.000","-99.000","22.700","","17.300",""
